Longitude,Latitude,Town,Location,StartDate,StartTime,EndDate,EndTime,Crime,CrimeType
80.612965,7.304321,Gohagoda,,2020-11-30,19:30,,,"Possesion of  2,050 mg of heroin",Drug
80.615696,7.353901,Ambatenna,,2020-12-02,19:45,2020-12-03,9:10,"Breaking into a house and stealing property worth 46,720",Burglary
80.61142,7.321026,Kondadeniya,,2020-12-05,13:50,,,"Keeping 2,150 mg of heroin",Drug
80.61142,7.321026,Kondadeniya,,2020-12-07,15:00,,,"Keeping 2,030 mg of heroin",Drug
80.600787,7.303278,Halloluwa,Primary College,2020-12-07,17:30,,,"Stealing Turmeric crop worth 27,000 from the school",Theft
80.636703,7.322436,Mawilmada,Mosque,2020-12-13,23:00,,,"Attacking with a car, causing damage and attempting murder",AttemptedMurder
80.632454,7.329192,Nawayalathenna,,2020-12-18,15:25,,,Keeping 19 g 910 mg of heroin,Drug
80.624283,7.323781,Katugastota,,2020-12-21,20:15,2020-12-22,8:15,"Breaking into a house and stealing property worth 806,000",Burglary
80.624283,7.323781,Katugastota,,2020-12-21,20:45,2020-12-22,8:45,"""Breaking into a house and stealing property worth 43,000",Burglary
80.62368,7.321494,Katugastota,Hewage Super Market,2020-12-23,19:30,2020-12-23,20:00,"Threatening by checking ID, then forcing into a car and taking 24,000",Robbery
80.609581,7.296542,Udamulla,Katugastota,2020-12-25,19:30,,,Beating up with clubs and damaging a three-wheeler,Assault
80.564739,7.335182,Aladeniya,,2020-12-27,16:00,2020-12-28,16;25,"Stealing an ATM card and using it to withdraw 45,000",Fraud
80.62368,7.321494,Katugastota,Water Board,2020-08-01,,2020-12-30,9:30,"Stealing 37,980 worth of armed cables",Theft
80.605869,7.478176,Agalawaththa,,2020-12-24,,,,Breaking into a house,Burglary
80.564739,7.335182,Aladeniya,,2021-01-01,16:30,,,Cutting off a person's ear,Assault
80.633779,7.315139,Katugastota,Near Ishara Traders,2021-01-04,21:20,,,"Stealing 9,040 from a pizza delivery boy by threatening with a pick to the face",Robbery
80.564739,7.335182,Hedeniya,Werallagama,2021-01-04,20:30,2021-01-05,6:30,"Breaking into a house and stealing property worth 35,615",Burglary
80.636703,7.322436,Mawilmada,Aluthganthota Road,2020-12-01,,2021-01-06,15:00,"Stealing 430,000 from a chest in a house",Burglary
80.625742,7.325952,Katugastota,Dharmavijaya College,2020-12-23,14:15,2021-01-05,8:30,Breaking into a house,Burglary
80.619722,7.314906,Gohagoda,Thekkawaththa,2021-01-07,13:00,,,Abducting and sexual misconduct of a 15yr old girl,Rape
80.564739,7.335182,Aladeniya,Wigunumpola,2021-01-11,18:00,2021-01-12,6:30,"Breaking into a house and stealing property worth 39,460",Burglary
